Participant,Condition,Epoch,Amplitude
0205-L8NWB,congruent,115,0.006106235042012393
0205-L8NWB,congruent,116,0.00575236262192238
0205-L8NWB,congruent,117,0.005930763045192028
0205-L8NWB,congruent,118,0.006107960756482241
0205-L8NWB,congruent,119,0.005737331190149088
0205-L8NWB,congruent,120,0.005923646121493443
0205-L8NWB,congruent,121,0.004068827523989165
0205-L8NWB,congruent,122,0.0057458560602770825
0205-L8NWB,congruent,123,0.00592265771254642
0205-L8NWB,congruent,124,0.006101099435654724
0205-L8NWB,congruent,125,0.005751049832092196
0205-L8NWB,congruent,126,0.005926245747226914
0205-L8NWB,congruent,127,0.006102510600764791
0205-L8NWB,congruent,128,0.00574689439222973
0205-L8NWB,congruent,129,0.005928767879344344
0205-L8NWB,congruent,130,0.006112908000250726
0205-L8NWB,congruent,131,0.005748642603437544
0205-L8NWB,congruent,132,0.003951192686143392
0205-L8NWB,congruent,133,0.0057449543900584075
0205-L8NWB,congruent,134,0.005926739734838396
0205-L8NWB,congruent,135,0.006105528104554729
0205-L8NWB,congruent,136,0.005744938075218491
0205-L8NWB,congruent,137,0.005924016751959135
0205-L8NWB,congruent,138,0.0061051744676909854
0205-L8NWB,congruent,139,0.00574794408155098
0205-L8NWB,congruent,140,0.003952636025814176
0205-L8NWB,congruent,141,0.006106914812921097
0205-L8NWB,congruent,142,0.005747512008998669
0205-L8NWB,congruent,143,0.005925403029146101
0205-L8NWB,congruent,144,0.006108099394514079
0205-L8NWB,congruent,145,0.0038286560000046063
0205-L8NWB,congruent,146,0.006106888122526471
0205-L8NWB,congruent,147,0.0057537937305639116
0205-L8NWB,congruent,148,0.00574940059462113
0205-L8NWB,congruent,149,0.00592631623419307
0205-L8NWB,congruent,150,0.00611161518117026
0205-L8NWB,congruent,151,0.005743080480500673
0205-L8NWB,congruent,152,0.005925270600884628
0205-L8NWB,congruent,153,0.006111064009158072
0205-L8NWB,congruent,154,0.005749149435608155
0205-L8NWB,congruent,155,0.005930449710087469
0205-L8NWB,congruent,156,0.006105189713875349
0205-L8NWB,congruent,157,0.005747836332400155
0205-L8NWB,congruent,158,0.005928675008208308
0205-L8NWB,congruent,159,0.006108853585752067
0205-L8NWB,congruent,160,0.0057516835530910205
0205-L8NWB,congruent,161,0.005921815964190255
0205-L8NWB,congruent,162,0.005741530044676397
0205-L8NWB,congruent,163,0.006106823001898115
0205-L8NWB,congruent,164,0.005750546798495221
0205-L8NWB,congruent,165,0.0059264657347952426
0205-L8NWB,congruent,166,0.006102434651140416
0205-L8NWB,congruent,167,0.0057451189933410765
0205-L8NWB,congruent,168,0.00592629033405169
0205-L8NWB,congruent,169,0.005747878817278363
0205-L8NWB,congruent,170,0.00592825632984276
0205-L8NWB,congruent,171,0.006102253668648954
0205-L8NWB,congruent,172,0.005750972450686167
0205-L8NWB,congruent,173,0.005924885040854712
0205-L8NWB,congruent,174,0.00610587950167016
0205-L8NWB,congruent,175,0.00575113493175656
0205-L8NWB,congruent,176,0.005924161854150105
0205-L8NWB,congruent,177,0.006109021994294068
0205-L8NWB,congruent,178,0.0038319602993499902
0205-L8NWB,congruent,179,0.005931157316530599
0205-L8NWB,congruent,180,0.005749379345529665
0205-L8NWB,congruent,181,0.006105078685121018
0205-L8NWB,congruent,182,0.0057442406434279145
0205-L8NWB,congruent,183,0.005928998591912637
0205-L8NWB,congruent,184,0.006103998461628173
0205-L8NWB,congruent,185,0.005749811059774319
0205-L8NWB,congruent,186,0.0059257178420139564
0205-L8NWB,congruent,187,0.0038311420546202754
0205-L8NWB,congruent,188,0.005926934428286589
0205-L8NWB,congruent,189,0.006105610515989547
0205-L8NWB,congruent,190,0.005743571420267745
0205-L8NWB,congruent,191,0.005926569633023575
0205-L8NWB,congruent,192,0.0061097515678990525
0205-L8NWB,congruent,193,0.0057500585422199935
0205-L8NWB,congruent,194,0.005927612284555846
0205-L8NWB,congruent,195,0.006109024180308849
0205-L8NWB,congruent,196,0.00574359262398651
0205-L8NWB,congruent,197,0.005925038106413928
0205-L8NWB,congruent,198,0.005747781339357887
0205-L8NWB,congruent,199,0.005927200205106722
0205-L8NWB,congruent,200,0.0061043781988565395
0205-L8NWB,incongruent,0,0.009342117791545613
0205-L8NWB,incongruent,1,0.009698918433919594
0205-L8NWB,incongruent,2,0.009342330929216726
0205-L8NWB,incongruent,3,0.009517038012241954
0205-L8NWB,incongruent,4,0.009515801980097799
0205-L8NWB,incongruent,5,0.009519559976865382
0205-L8NWB,incongruent,6,0.009341097434459628
0205-L8NWB,incongruent,7,0.009697918386192862
0205-L8NWB,incongruent,8,0.0093406087047063
0205-L8NWB,incongruent,9,0.009517867419158572
0205-L8NWB,incongruent,10,0.006466212209005362
0205-L8NWB,incongruent,11,0.009340787291535379
0205-L8NWB,incongruent,12,0.009337588460543403
0205-L8NWB,incongruent,13,0.009338524491913261
0205-L8NWB,incongruent,14,0.009337109908593056
0205-L8NWB,incongruent,15,0.009695563088588535
0205-L8NWB,incongruent,16,0.009337970579350513
0205-L8NWB,incongruent,17,0.009520968307525583
0205-L8NWB,incongruent,18,0.009340641652876836
0205-L8NWB,incongruent,19,0.009516919577063089
0205-L8NWB,incongruent,20,0.009335493485747708
0205-L8NWB,incongruent,21,0.009338930439749484
0205-L8NWB,incongruent,22,0.009334211787888163
0205-L8NWB,incongruent,23,0.006226535194057918
0205-L8NWB,incongruent,24,0.009334987331915975
0205-L8NWB,incongruent,25,0.009339261921228826
0205-L8NWB,incongruent,26,0.009340496600690354
0205-L8NWB,incongruent,27,0.00934185951411637
0205-L8NWB,incongruent,28,0.00952127541383248
0205-L8NWB,incongruent,29,0.009520200105971422
0205-L8NWB,incongruent,30,0.009342355347102108
0205-L8NWB,incongruent,31,0.009336693080881621
0205-L8NWB,incongruent,32,0.00933893229347078
0205-L8NWB,incongruent,33,0.009522832179878113
0205-L8NWB,incongruent,34,0.00951812563297519
0205-L8NWB,incongruent,35,0.009517156831049443
